Prompt Template,Temperature,Top_p,Correct/Total,Easy,Medium,Hard,Very Hard
simple,0.95,0.95,12/830,12/196,0/298,0/237,0/99
cot,0.95,0.95,4/830,4/196,0/298,0/237,0/99
role,0.95,0.95,8/830,8/196,0/298,0/237,0/99
few-shot,0.95,0.95,16/830,16/196,0/298,0/237,0/99
structured,0.95,0.95,3/830,3/196,0/298,0/237,0/99
constraints,0.95,0.95,11/830,10/196,1/298,0/237,0/99
least-to-most,0.95,0.95,8/830,7/196,0/298,1/237,0/99
prompt-self-consistency,0.95,0.95,10/830,10/196,0/298,0/237,0/99
expert,0.95,0.95,5/830,5/196,0/298,0/237,0/99
comprehensive-expert,0.95,0.95,3/830,3/196,0/298,0/237,0/99
