Prompt Template,Temperature,Top_p,Correct/Total,Easy,Medium,Hard,Very Hard
simple,0.95,0.95,7/830,7/196,0/298,0/237,0/99
cot,0.95,0.95,8/830,8/196,0/298,0/237,0/99
role,0.95,0.95,4/830,4/196,0/298,0/237,0/99
few-shot,0.95,0.95,10/830,10/196,0/298,0/237,0/99
structured,0.95,0.95,6/830,6/196,0/298,0/237,0/99
constraints,0.95,0.95,8/830,8/196,0/298,0/237,0/99
least-to-most,0.95,0.95,4/830,4/196,0/298,0/237,0/99
prompt-self-consistency,0.95,0.95,10/830,9/196,1/298,0/237,0/99
expert,0.95,0.95,8/830,8/196,0/298,0/237,0/99
comprehensive-expert,0.95,0.95,7/830,7/196,0/298,0/237,0/99
